Claim_ID,Customer_ID,Vehicle_ID,Claim_Date,Claim_Amount,Claim_Type
1,92,92,2025-03-28,10000,1
2,113,113,2025-06-14,10000,1
3,156,156,2025-06-28,10000,1
4,169,169,2025-12-21,10000,1
5,226,226,2025-07-21,10000,1
6,309,309,2025-06-28,10000,1
7,352,352,2025-06-14,10000,1
8,381,381,2025-07-14,10000,1
9,409,409,2025-08-21,10000,1
10,412,412,2025-11-21,10000,1
11,478,478,2025-10-28,10000,1
12,503,503,2025-03-28,10000,1
13,556,556,2025-01-21,10000,1
14,574,574,2025-09-21,10000,1
15,602,602,2025-04-28,10000,1
16,630,630,2025-08-28,10000,1
17,652,652,2025-02-21,10000,1
18,673,673,2025-12-14,10000,1
19,680,680,2025-04-28,10000,1
20,688,688,2025-01-21,10000,1
21,704,704,2025-06-21,10000,1
22,706,706,2025-07-07,10000,1
23,758,758,2025-05-14,10000,1
24,759,759,2025-03-07,10000,1
25,783,783,2025-12-21,10000,1
26,819,819,2025-09-14,10000,1
27,889,889,2025-04-28,10000,1
28,891,891,2025-09-21,10000,1
29,909,909,2025-08-07,10000,1
30,927,927,2025-01-28,10000,1
31,932,932,2025-07-07,10000,1
32,1002,1002,2025-06-28,10000,1
33,1006,1006,2025-05-07,10000,1
34,1008,1008,2025-07-28,10000,1
35,1080,1080,2025-07-07,10000,1
36,1118,1118,2025-05-28,10000,1
37,1130,1130,2025-04-07,10000,1
38,1132,1132,2025-04-21,10000,1
39,1160,1160,2025-06-07,10000,1
40,1220,1220,2025-05-07,10000,1
41,1233,1233,2025-12-28,10000,1
42,1267,1267,2025-09-14,10000,1
43,1275,1275,2025-02-28,10000,1
44,1328,1328,2025-05-14,10000,1
45,1386,1386,2025-03-28,10000,1
46,1419,1419,2025-01-14,10000,1
47,1434,1434,2025-02-14,10000,1
48,1455,1455,2025-11-07,10000,1
49,1464,1464,2025-03-14,10000,1
50,1494,1494,2025-02-28,10000,1
51,1516,1516,2025-12-14,10000,1
52,1543,1543,2025-01-28,10000,1
53,1561,1561,2025-05-21,10000,1
54,1575,1575,2025-02-07,10000,1
55,1576,1576,2025-05-14,10000,1
56,1588,1588,2025-07-28,10000,1
57,1601,1601,2025-06-28,10000,1
58,1613,1613,2025-05-07,10000,1
59,1628,1628,2025-09-21,10000,1
60,1735,1735,2025-04-14,10000,1
61,1746,1746,2025-07-21,10000,1
62,1751,1751,2025-12-28,10000,1
63,1773,1773,2025-09-07,10000,1
64,1782,1782,2025-03-07,10000,1
65,1848,1848,2025-12-14,10000,1
66,1925,1925,2025-06-28,10000,1
67,1948,1948,2025-05-07,10000,1
68,1951,1951,2025-04-07,10000,1
69,1957,1957,2025-12-21,10000,1
70,1960,1960,2025-03-28,10000,1
71,1985,1985,2025-10-14,10000,1
72,1988,1988,2025-06-21,10000,1
73,1990,1990,2025-02-28,10000,1
74,2108,2108,2025-06-28,10000,1
75,2123,2123,2025-02-07,10000,1
76,2130,2130,2025-08-14,10000,1
77,2139,2139,2025-02-07,10000,1
78,2151,2151,2025-01-28,10000,1
79,2156,2156,2025-12-14,10000,1
80,2158,2158,2025-10-14,10000,1
81,2163,2163,2025-11-14,10000,1
82,2183,2183,2025-02-28,10000,1
83,2191,2191,2025-09-07,10000,1
84,2234,2234,2025-06-14,10000,1
85,2260,2260,2025-12-21,10000,1
86,2262,2262,2025-01-14,10000,1
87,2322,2322,2025-09-14,10000,1
88,2361,2361,2025-01-21,10000,1
89,2373,2373,2025-08-07,10000,1
90,2391,2391,2025-03-28,10000,1
91,2396,2396,2025-04-21,10000,1
92,2418,2418,2025-10-21,10000,1
93,2437,2437,2025-09-14,10000,1
94,2453,2453,2025-08-28,10000,1
95,2464,2464,2025-07-28,10000,1
96,2504,2504,2025-03-21,10000,1
97,2511,2511,2025-10-07,10000,1
98,2521,2521,2025-09-21,10000,1
99,2523,2523,2025-10-21,10000,1
100,2536,2536,2025-01-07,10000,1
101,2539,2539,2025-03-28,10000,1
102,2561,2561,2025-09-28,10000,1
103,2568,2568,2025-05-07,10000,1
104,2583,2583,2025-01-21,10000,1
105,2633,2633,2025-02-14,10000,1
106,2641,2641,2025-11-14,10000,1
107,2651,2651,2025-06-14,10000,1
108,2661,2661,2025-02-28,10000,1
109,2682,2682,2025-11-07,10000,1
110,2687,2687,2025-10-28,10000,1
111,2701,2701,2025-04-07,10000,1
112,2707,2707,2025-10-21,10000,1
113,2831,2831,2025-12-21,10000,1
114,2861,2861,2025-07-14,10000,1
115,2866,2866,2025-07-28,10000,1
116,2878,2878,2025-01-21,10000,1
117,2890,2890,2025-12-21,10000,1
118,2958,2958,2025-03-28,10000,1
119,2971,2971,2025-11-21,10000,1
120,3081,3081,2025-03-14,10000,1
121,3128,3128,2025-03-21,10000,1
122,3147,3147,2025-08-21,10000,1
123,3151,3151,2025-09-28,10000,1
124,3174,3174,2025-08-07,10000,1
125,3235,3235,2025-10-14,10000,1
126,3239,3239,2025-08-14,10000,1
127,3240,3240,2025-05-28,10000,1
128,3255,3255,2025-09-14,10000,1
129,3281,3281,2025-06-21,10000,1
130,3309,3309,2025-04-07,10000,1
131,3441,3441,2025-02-28,10000,1
132,3474,3474,2025-01-21,10000,1
133,3500,3500,2025-09-21,10000,1
134,3528,3528,2025-06-28,10000,1
135,3609,3609,2025-01-28,10000,1
136,3613,3613,2025-07-28,10000,1
137,3624,3624,2025-01-14,10000,1
